School Name,EIIN,Track Start Time,Track End Time,Track Total Time
"Dhanmondi boys school","56776","6/21/2023; 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"Dhanmondi boys school","56776","7/4/2023; 5:28:56 PM","7/4/2023; 5:34:02 PM","5 minutes"
"Mastermind School","4589455","6/21/2023; 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"Mastermind School","4589455","7/4/2023; 5:28:56 PM","7/4/2023; 5:30:45 PM","1 minute"
"sunbeems","457885","6/21/2023; 11:03:26 AM","6/21/2023 15:47","4 hours 43 minutes"
"sunbeems","457885","7/4/2023; 5:28:56 PM","7/4/2023; 5:34:02 PM","5 minutes"
"sunbeems","457885","7/4/2023; 5:28:56 PM","7/4/2023; 5:36:02 PM","7 minutes"
"saint johns school","125645","6/21/2023; 11:03:26 AM","06/21/2023 3:47:15 PM","4 hours 43 minutes"
"saint johns school","125645","7/4/2023; 5:28:56 PM","7/4/2023; 5:49:44 PM","20 minutes"
"saint johns school","125645","7/5/2023; 3:17:11 PM","7/5/2023; 4:18:06 PM","1 hour 0 minutes"
