School Name,EIIN,Video Name,Location,Player Time,PC Time Start,Player End Time,PC End Time,Total Time
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","6/15/2023; 3:07:01 PM","4.636628","6/15/2023; 3:07:02 PM","1.4143210000000002"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","6/15/2023; 3:07:16 PM","15.234136","6/15/2023; 3:07:27 PM","10.525752"
"blue bird international school","12","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","6/15/2023; 3:06:36 PM","3.222273","6/15/2023; 3:06:39 PM","3.222273"
