"product-image href","bc-video-player src","bvp-icon href","icbu-video-player--duration","title-con","num","unit","value","product-image href 2","bc-video-player src 2","icbu-video-player--duration 2","title-con 2","num 2","unit 2","value 2","product-image href 3","bc-video-player src 3","bvp-icon href 3","icbu-video-player--duration 3","title-con 3","num 3","unit 3","value 3","product-image href 4","bc-video-player src 4","icbu-video-player--duration 4","title-con 4","num 4","value 4","product-tag","product-tag 2","product-tag 3","next-row src"
"https://www.alibaba.com/product-detail/Bedroom-furniture-fashion-design-leather-solid_1600112413267.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/284626009048.mp4","[object Object]","00:30","Bedroom furniture fashion design leather solid wood frame luxury king multifunctional modern smart bed set","$496.00 - $665.00","piece","2.0 pieces","https://www.alibaba.com/product-detail/Master-bedroom-luxury-multifunctional-genuine-leather_1600154287480.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/297654105745.mp4","00:19","Master bedroom luxury multifunctional genuine leather bed smart design bed room furniture queen frame bed","$526.00 - $695.00","set","2.0 sets","https://www.alibaba.com/product-detail/Modern-smart-multifunctional-genuine-leather-message_1600154195698.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/301804931495.mp4","[object Object]","00:40","Modern smart multifunctional genuine leather message king size luxury bed set furniture with storage","$614.00 - $695.00","set","1 set","https://www.alibaba.com/product-detail/Living-room-furniture-modern-leisure-adult_1600100091762.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276505489487.mp4","00:27","Living room furniture modern leisure adult U shape 7 seater sectional corner fabric sofa with solid wood frame","$420.00 - $650.00","2.0 sets","","","",""
"https://www.alibaba.com/product-detail/Living-room-furniture-hot-sale-factory_1600117167771.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276505489487.mp4","[object Object]","00:27","Living room furniture hot sale factory price modern fashion U shaped sectional corner velvet sofa set for home","$525.00 - $650.00","set","2 sets","https://www.alibaba.com/product-detail/2021-modern-custom-rectangular-shape-mdf_1600230043838.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/306410917406.mp4","00:24","2021 modern custom rectangular shape mdf tempered glass wooden coffee tables design for living room","$175.00","piece","2 pieces","https://www.alibaba.com/product-detail/2020-new-design-modern-designer-living_1600234531953.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/307970830528.mp4","[object Object]","00:44","2020 new design modern designer living room furniture fabric seats home furniture upholstered sofas","$404.00 - $450.00","set","1 set","https://www.alibaba.com/product-detail/China-manufacturers-designed-living-room-furniture_1600099824254.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276723202841.mp4","00:24","China manufacturers designed living room furniture classic 7 seater sectional set fabric seat modern sofa furniture","$480.00 - $560.00","2 sets","Living Room","Modern","Sectional Sofa",""
"https://www.alibaba.com/product-detail/New-arrival-modern-multifunction-adjustable-U_1600101921405.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276281168443.mp4","[object Object]","00:45","New arrival modern multifunction adjustable U shape 7 seater corner sectional fabric usb charging sofa for Living room furniture","$483.00 - $633.00","set","1 set","https://www.alibaba.com/product-detail/Living-room-new-model-fashion-sectional_1600103606643.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276281168443.mp4","00:45","Living room new model fashion sectional corner U shaped 7 seater fabric luxury furniture sofa set for home","$483.00 - $633.00","set","1 set","https://www.alibaba.com/product-detail/Hot-sale-newfashion-design-U-shaped_1600140417623.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/285841070284.mp4","[object Object]","00:41","Hot sale newfashion design U shaped sectional corner waterproof fabric home furniture living room modern sofa set","$589.00 - $762.00","set","1 set","https://www.alibaba.com/product-detail/Foshan-storage-U-shaped-corner-velvet_1600138042231.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/285347843705.mp4","00:38","Foshan storage U shaped corner velvet fabric living room furniture elegant modern sectional sofa with free stools","$501.00 - $655.00","1.0 set","Living Room","Sectional Sofa","Fabric",""
"https://www.alibaba.com/product-detail/New-model-adult-fashion-design-adjustable_1600116478711.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/286072952267.mp4","[object Object]","00:45","New model adult fashion design adjustable U shaped 7 seater home sofas sets sectionals living room modern furniture with storage","$812.00 - $1,045.00","piece","2 pieces","https://www.alibaba.com/product-detail/Hot-sale-U-shaped-6-seater_1600135785587.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/302854252636.mp4","00:30","Hot sale U shaped 6 seater sectional gray color Italian furniture living room best  couch sofa set with free stools","$756.00 - $892.00","set","6.0 sets","https://www.alibaba.com/product-detail/Multifunction-washable-multi-colored-latex-linen_1600106788539.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/302854252636.mp4","[object Object]","00:30","Multifunction washable multi-colored latex linen fabric sectional corner european modern sofa set design living room furniture","$788.00 - $892.00","set","6 sets","https://www.alibaba.com/product-detail/Living-room-furniture-custom-design-modular_1600106688356.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/285956414303.mp4","00:44","Living room furniture custom design modular u shaped 7 seater corner tufted fabric modern sectional sofa","$583.00 - $653.00","2 sets","","","",""
"https://www.alibaba.com/product-detail/Hot-new-leisure-washable-and-removable_1600138742445.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/284737404142.mp4","[object Object]","00:42","Hot new leisure washable and removable sectional 7 seat solid wood frame latex linen fabric corner modern luxury sofa sets","$536.00 - $698.00","set","1 set","https://www.alibaba.com/product-detail/Hot-sale-storage-functional-soft-music_1600106607887.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/284737404142.mp4","00:42","Hot sale storage functional soft music U shaped sectional 7 seat latex grey living room lounges and sofas furniture","$812.00 - $1,045.00","set","1 set","https://www.alibaba.com/product-detail/Office-furniture-fashion-design-U-shaped_1600138649645.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/285068087821.mp4","[object Object]","00:36","Office furniture fashion design U shaped 7 seat storage grey living room modern luxury corner velvet fabric sofas","$788.00 - $996.00","set","1.0 set","https://www.alibaba.com/product-detail/Modern-style-USB-charging-music-U_1600106595352.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/283457412897.mp4","00:41","Modern style USB charging music U shaped sectional latest large corner cotton linen PU sofa set design for living room","$859.00 - $1,069.00","1 set","","","",""
"https://www.alibaba.com/product-detail/Modern-storage-compartment-U-shaped-sectional_1600106390385.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/281842861324.mp4","","00:37","Modern storage compartment U shaped sectional 7 seater latex luxury furniture living room fabrics sofas sets supplier","$543.00 - $840.00","set","1 set","https://www.alibaba.com/product-detail/Modern-style-fashion-high-density-sponge_1600104586021.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/277427286048.mp4","00:30","Modern style fashion high density sponge U shaped sectional living room furniture grey fabric lounge sofa set with computer desk","$530.00 - $570.00","set","2 sets","https://www.alibaba.com/product-detail/simple-modern-double-bed-for-adult_1600147242169.html","","[object Object]","","simple modern double bed for adult queen size bed frame with leather backrest","$145.00 - $245.00","piece","2.0 pieces","https://www.alibaba.com/product-detail/2021-adult-outdoor-garden-balcony-relax_1600245644450.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/310132381705.mp4","00:30","2021 adult outdoor garden balcony relax 2 person rattan resin hanging cheap double egg swing chair","$84.00 - $124.00","2 sets","","","","https://s.alicdn.com/@sc01/kf/Hc984eedde20744e09ed485a94f7ac52aQ.jpg_480x480.jpg"
"https://www.alibaba.com/product-detail/small-unit-bedroom-furniture-1-5m_1600147180691.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/341958894494.mp4","[object Object]","00:31","small unit bedroom furniture 1.5m/1.8m cheap dormitory  wood beds with soft backrest","$126.00 - $201.00","piece","2.0 pieces","https://www.alibaba.com/product-detail/Modern-simple-pure-color-wood-furniture_1600163822621.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/282558741552.mp4","00:18","Modern simple pure color wood furniture vanity desk dresser with mirror","$14.00 - $16.00","set","1 set","https://www.alibaba.com/product-detail/Nordic-bedroom-wooden-furniture-modern-king_1600146397692.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/296188636068.mp4","[object Object]","00:19","Nordic bedroom wooden furniture modern king size bed with large storage capacity","$89.00 - $182.00","piece","2.0 pieces","https://www.alibaba.com/product-detail/New-arrival-fashion-modern-style-cheap_1600106527691.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/286316874404.mp4","00:43","New arrival fashion modern style cheap large custom apartment U shaped sectional corner 7 seater gray upolstery fabrics sofa","$662.00 - $741.00","6 sets","Modern","Wood","Bedroom",""
"https://www.alibaba.com/product-detail/China-supplier-factory-price-soft-sectional_1600142728569.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/286316874404.mp4","","00:43","China supplier factory price soft sectional u shaped corner grey linen fabric home modern sofa couch furniture with storage","$572.00 - $741.00","set","1 set","https://www.alibaba.com/product-detail/Hot-sale-USB-charging-multiple-combination_1600105756659.html","","","Hot sale USB charging multiple combination U shaped 7 seater latex luxury furniture living room sofa set for home","$825.00 - $950.00","set","1 set","https://www.alibaba.com/product-detail/U-shaped-latex-protective-cloth-cotton_1600105747722.html","","","","U shaped latex protective cloth/cotton linen/Technology cloth living room furniture sets sofas set designs manufacturers","$660.00 - $852.00","set","1.0 set","https://www.alibaba.com/product-detail/Living-room-new-design-modern-fashion_1600104770380.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276715124011.mp4","00:25","Living room new design modern fashion sofa cushion  washable sectional latex velvet luxury velvet corner sofa furniture retailer","$580.00 - $677.00","1.0 set","","","","https://s.alicdn.com/@sc01/kf/H87e9c787a2714b6084388a1063641b32B.jpg_480x480.jpg"
"https://www.alibaba.com/product-detail/Living-room-furniture-modern-super-soft_1600104588227.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/277443650919.mp4","[object Object]","00:29","Living room furniture modern super soft 7 seater U shaped sectional tufted velvet sofa for home","$480.00 - $560.00","set","1 set","https://www.alibaba.com/product-detail/Home-furniture-confortable-U-shaped-corner_1600106486828.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/281440296014.mp4","00:25","Home furniture confortable U shaped corner high density sponge sectional fabric moderno wholesale upholstered sofas in China","$559.00 - $860.00","set","1 set","https://www.alibaba.com/product-detail/Hot-sale-modern-leisure-style-fashion_1600103559986.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/277317866812.mp4","[object Object]","00:28","Hot sale modern leisure style fashion design U shaped sectional 7 seater corner fabric living room furniture sofa set","$408.00 - $502.00","set","1.0 set","https://www.alibaba.com/product-detail/Home-furniture-latest-fashion-design-U_1600101931764.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/297168815633.mp4","00:19","Home furniture latest fashion design U shape sectional 7 seater fabric modern corner sofa set for living room","$408.00 - $502.00","2 sets","","","",""
"https://www.alibaba.com/product-detail/Living-room-furniture-new-model-Italian_1600110490003.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276521481052.mp4","[object Object]","00:44","Living room furniture new model Italian elegant adult velvet fabric sectional multicolor 7 seater funda floor sofa set for home","$460.00 - $537.00","set","1 set","https://www.alibaba.com/product-detail/simple-design-cheap-set-fabric-seats_1600101375072.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276753214766.mp4","00:43","simple design cheap set fabric seats sectionals small living room furnituremodern velvet sofa","$470.00 - $548.00","set","1 set","https://www.alibaba.com/product-detail/Living-room-hot-sale-modern-adult_1600101290097.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276967227443.mp4","[object Object]","00:44","Living room hot sale modern adult wholesale custom U shape sectional 7 seater fabric corner sofa furniture in Foshan","$520.00 - $607.00","set","1 set","https://www.alibaba.com/product-detail/Home-furniture-popular-modern-U-shape_1600101288823.html","https://cloud.video.alibaba.com/play/u/2153292369/p/1/e/6/t/1/d/hd/276521481052.mp4","00:44","Home furniture popular modern U shape sectional corner customized  linen flannel fabric cheap guangzhou sofa set for living room","$460.00 - $537.00","1 set","","","",""
