﻿video_name,location,start_date,start_time,end_date,end_time,duration,school_name,pl_start,pl_end,pc_name,eiin,pc_id,lab_id
"০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC]","../G9-10/০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC].mp4","17/07/2023","18:26","17/07/2023","18:26","0.18 minutes","Jahangirabad Uccho Biddaloy","1.03","11.7","Meta DEV 02",127800,"127800-L12","127800-P12"
"০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC]","../G9-10/০৭.০৩. অধ্যায় ৭_ব্যবহারিক জ্যামিতি- (৭.১)- ত্রিভুজ অঙ্কন অনুশীলনী - পর্ব ৩ [SSC].mp4","17/07/2023","18:26","17/07/2023","18:26","0.02 minutes","Jahangirabad Uccho Biddaloy","0","0.95","Meta DEV 02",127800,"127800-L12","127800-P12"
" অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ)","../G9-10/২) অধ্যায় ৮_বৃত্ত - পর্ব ২ (৮.১ - উপপাদ্য অনুশীলনী, বৃত্তচাপ, কেন্দ্রস্থ ও বৃত্তস্থ কোণ).mp4","17/07/2023","18:26","17/07/2023","18:26","0.03 minutes","Jahangirabad Uccho Biddaloy","0","1.89","Meta DEV 02",127800,"127800-L12","127800-P12"
" অধ্যায় ৪_সূচক ও লগারিদম - পর্ব ৫ (৪.২ - লগারিদমের পরিচিতি ও সূত্র) [SSC]","../G9-10/৫) অধ্যায় ৪_সূচক ও লগারিদম - পর্ব ৫ (৪.২ - লগারিদমের পরিচিতি ও সূত্র) [SSC].mp4","17/07/2023","18:25","17/07/2023","18:25","0.02 minutes","Jahangirabad Uccho Biddaloy","0","1.17","Meta DEV 02",127800,"127800-L12","127800-P12"
" অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC]","../G9-10/৩) অধ্যায় - ২_ফাংশন - পর্ব ৩ [SSC].mp4","17/07/2023","18:25","17/07/2023","18:25","0.02 minutes","Jahangirabad Uccho Biddaloy","0","1","Meta DEV 02",127800,"127800-L12","127800-P12"
" অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC]","../G9-10/১) অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ১ [SSC].mp4","17/07/2023","18:25","17/07/2023","18:25","0.02 minutes","Jahangirabad Uccho Biddaloy","0","0.99","Meta DEV 02",127800,"127800-L12","127800-P12"
"অধ্যায় ১৪_অনুপাত , সদৃশতা ও প্রতিসমতা- (১৪.১)- উপপাদ্য ১, ২, ৩ [SSC]","../G9-10/অধ্যায় ১৪_অনুপাত , সদৃশতা ও প্রতিসমতা- (১৪.১)- উপপাদ্য ১, ২, ৩ [SSC].mp4","17/07/2023","18:23","17/07/2023","18:23","0.06 minutes","Jahangirabad Uccho Biddaloy","0","3.45","Meta DEV 02",127800,"127800-L12","127800-P12"
"অধ্যায় ৬_রেখা, কোণ ও ত্রিভুজ- (৬.২ ও ৬.৩)- পর্ব ২ ​[SSC]","../G9-10/অধ্যায় ৬_রেখা, কোণ ও ত্রিভুজ- (৬.২ ও ৬.৩)- পর্ব ২ ​[SSC].mp4","17/07/2023","18:22","17/07/2023","18:23","0.06 minutes","Jahangirabad Uccho Biddaloy","0","3.43","Meta DEV 02",127800,"127800-L12","127800-P12"
" অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC]","../G9-10/৫) অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC].mp4","17/07/2023","18:22","17/07/2023","18:22","0.01 minutes","Jahangirabad Uccho Biddaloy","1.45","2.31","Meta DEV 02",127800,"127800-L12","127800-P12"
" অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC]","../G9-10/৫) অধ্যায় ৩_বীজগাণিতিক রাশি - ভাগশেষ উপপাদ্য এবং গাণিতিক উদাহরণ ৩.৪ - পর্ব ৫ [SSC].mp4","17/07/2023","18:20","17/07/2023","18:20","0.02 minutes","Jahangirabad Uccho Biddaloy","0","1.45","Meta DEV 02",127800,"127800-L12","127800-P12"
"অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ২ [SSC]","../G9-10/অধ্যায় ১_বাস্তব সংখ্যা - পর্ব ২ [SSC].mp4","17/07/2023","18:03","17/07/2023","18:03","0.02 minutes","Jahangirabad Uccho Biddaloy","0","1.05","Meta DEV 02",127800,"127800-L12","127800-P12"
