School Name,EIIN,Video Name,Location,Player Start Time,PC Start Date,PC Start Time,Player End Time,PC End Date,PC End Time,Total Time
"Monipur High School","123456","Sample Video","videos/sample.mp4","0","13/07/2023","10:00","60","13/07/2023","10:01","1 minutes"
"Monipur High School","123456","Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar","../G8-10/Sentence_ Introduction and Parts of Sentences _ Sentence in English Grammar.mp4","0","13/07/2023","15:56","1.32","13/07/2023","15:56","0.016666666666666666 minutes"
"Monipur High School","123456","Articles_ Uses of The _ 2 _ Article in English Grammar","../G8-10/Articles_ Uses of The _ 2 _ Article in English Grammar.mp4","0","13/07/2023","16:14","4.46","13/07/2023","16:14","0.08333333333333333 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","15/06/2023","15:06","3.222273","15/06/2023","15:06","0.05 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","15/06/2023","15:07","4.636628","15/06/2023","15:07","0.016666666666666666 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","15/06/2023","15:07","15.234136","15/06/2023","15:07","0.18333333333333332 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","15/06/2023","15:07","4.636628","15/06/2023","15:07","0.016666666666666666 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","04/07/2023","17:36","4.779131","04/07/2023","17:36","0.08333333333333333 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","04/07/2023","17:37","9.445875","04/07/2023","17:37","0.08333333333333333 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","15/06/2023","15:06","3.222273","15/06/2023","15:06","0.05 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","15/06/2023","15:07","4.636628","15/06/2023","15:07","0.016666666666666666 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.708384","15/06/2023","15:07","15.234136","15/06/2023","15:07","0.18333333333333332 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","3.222307","15/06/2023","15:07","4.636628","15/06/2023","15:07","0.016666666666666666 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","0","04/07/2023","17:36","4.779131","04/07/2023","17:36","0.08333333333333333 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","4.779148","04/07/2023","17:37","9.445875","04/07/2023","17:37","0.08333333333333333 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","9.445883","04/07/2023","17:39","12.161818","04/07/2023","17:39","0.05 minutes"
"Monipur High School","123456","Articles_ Omission of A and An _ Article in English Grammar","C:/Users/Meta DEV 02/Desktop/video/Articles_ Omission of A and An _ Article in English Grammar.mp4","29.445883","04/07/2023","17:39","12.161818","04/07/2023","17:39","0.05 minutes"
